Course Title	Rating	Level	Schedule	What you will learn	Skill gain	Modules	Instructor	Offered By	Department	Course Url	Duration to complete (Approx.)	Keywords	Number of Review
The Blues: Understanding and Performing an American Art Form	4.8	Beginner level	Flexible schedule	Students will be able to describe the blues as an important musical form. Students will be able to explain differences in jazz and other variations of the blues. 	Music, Chord, Jazz, Jazz Improvisation	Blues Progressions – Theory and Practice , Blues Scales , Keyboard Realization , “Bird” Blues and Other Blues Progressions, Improvisational Tools , Improvising the Blues – Part 1 , Improvising the Blues – Part 2	Dariusz Terefenko	University of Rochester	Arts and Humanities	https://www.coursera.org/learn/the-blues	11.0	Music,Art & Humanities	582.0
So You Think You Know Tango?	4.6	Beginner level	Flexible schedule	Gain an appreciation for the Argentine Tango as a multidimensional art form, including music, dance, and poetry. List the components that make a tango. Explore the tango as a living art form today and how it can be used to cross cultural boundaries and stereotypes.	Not specified	Module 1: The Many Dimensions of Tango and Tango Music, Module 2: Tango Words and Movements	Kristin Wendland	Emory University	Arts and Humanities	https://www.coursera.org/learn/tango	5.0	Art & Humanities,Music	107.0
Basic Elements of Design: Design Principles and Software Overview	4.7	Beginner level	Flexible schedule	Recognize ways to work with graphic designers and other creative professionals. Understand the history and design process of the graphic design profession. Compare the concepts of balance, proximity, alignment, repetition, contrast and space. Discover the use of white space to develop shape, form, and structure in graphic projects.	Print Design, online design, Color Theory, Graphic Design, textual elements	What is Graphic Design?, Elements of Design, Basic Concepts of Design	Lori Poole	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/basic-elements-design	10.0	Design	925.0
Health, Society, and Wellness in COVID-19 Times 	4.6	Beginner level	Flexible schedule	You will explore perspectives on disease and society and on systemic racism and inequality with scholars across disciplines. You will explore the science and practice of individual and community wellness. You will learn skills relevant to emotions, relationships, common mental health concerns, and learning in the age of Zoom and remote classes. You will learn practices of cooperation, compassion, and anti-racism for community wellness.	Education, COVID-19, health, Public Health, Health Care	An Orientation to Health, Society, and Wellness in COVID-19 Times, Mental Health and Well-Being in COVID-19 Times, The Public Health Response and Transmission of the COVID-19 Virus, Social Inequities and COVID-19	Daryl Maeda, Sona Dimidjian, Donna Mejia	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/health-society-and-wellness-in-covid-19-times	52.0	Race & Racism,Health	14.0
Graphic Design Specialization	4.7	Beginner level	Flexible schedule	Gain the fundamental skills needed to be a graphic designer. Communicate through image-making and typography. Complete a capstone project to add to your professional portfolio. Learn everything you need to know to work in interface design, motion graphics, and editorial design.	Art History, Branding Communication, Visual Communication, Typography, Graphic Design	Fundamentals of Graphic Design, Introduction to Typography, Introduction to Imagemaking, Ideas from the History of Graphic Design, Brand New Brand	Gail Swanlund, Louise Sandhaus, Michael Worthington, Anther Kiley, Lorraine Wild	California Institute of the Arts	Arts and Humanities	https://www.coursera.org/specializations/graphic-design	80.0	Design,History & Religion,Art & Humanities	16128.0
Modern and Contemporary Art and Design Specialization	4.8	Beginner level	Flexible schedule	Develop a deeper understanding of artists’ and designers’ processes, including modes of experimentation and responses to technological innovation. Develop critical thinking and looking skills to understand how artists and designers respond to the social and cultural issues of their time. Gain confidence in looking at and talking about modern and contemporary art and design, and find inspiration from art all around you. Better comprehend the choices you make about fashion with respect to expression, identity, and issues such as labor practices and sustainability.	Design, Art, History, Photography, Museums	Modern Art & Ideas, Seeing Through Photographs, What Is Contemporary Art?, Fashion as Design	Anna Burckhardt, Sophie Cavoulacos, Sarah Meister, Paola Antonelli, Michelle Millar Fisher, Erica Papernik-Shimizu, Christian Rattemeyer, Lisa Mazzola, Arièle Dionne-Krosnick, Lucy Gallun, Sean Anderson, Stephanie Kramer	The Museum of Modern Art	Arts and Humanities	https://www.coursera.org/specializations/modern-contemporary-art-design	80.0	Art & Humanities	2393.0
Game Design: Art and Concepts Specialization	4.7	Beginner level	Flexible schedule	Ways to create and describe a game concept. Evaluation and interpretion of different story styles. Concepts and approaches involved in creating successful character designs.	Interactive Storytelling, Game Design Document, Video Game Design, Game Design	Introduction to Game Design, Story and Narrative Development for Video Games, World Design for Video Games, Character Design for Video Games, Game Design Document: Define the Art & Concepts	Théotime Vaillant, Dariush Derakhshani, Fran Krause	California Institute of the Arts	Arts and Humanities	https://www.coursera.org/specializations/game-design	40.0	Design,Game	2491.0
The DIY Musician Specialization	4.7	Beginner level	Flexible schedule	Tools and techniques to write more compelling songs. Develop your identity and vision as an artist. Use ProTools to record and produce your original music. Strategies to plan, launch, and manage a successful crowdfunding campaign.	Social Media, Songwriting, Music production, Crowdfunding, Music recording	Songwriting: Writing the Lyrics, The Art of Music Production, Pro Tools Basics, Building Your Career in Music: Developing A Brand and Funding Your Music	Leah Waldo, Stephen Webber, Pat Pattison, Chrissy Tignor	Berklee	Arts and Humanities	https://www.coursera.org/specializations/diy-musician	40.0	Social Media,Music	443.0
Music Production Specialization	4.8	Beginner level	Flexible schedule	Identify and use reference tracks to establish a vision for your production. Use the Production Check-List to run an efficient and well-organized recording session. Edit your tracks while using your reference tracks and emotional and dynamic timelines to realize your vision for your production. Evaluate your mix by critically listening to it on different sound systems (ear buds, in the car, sound system, computer, etc.)	Audio Editing, Music, Sound Design, Audio Recording, Music production	The Art of Music Production, The Technology of Music Production, Pro Tools Basics, Music Production Capstone	Stephen Webber, Loudon Stearns, Chrissy Tignor	Berklee	Arts and Humanities	https://www.coursera.org/specializations/music-production	40.0	Music	1815.0
The Business of Music Production Specialization	4.9	Beginner level	Flexible schedule	The structure of the recording music industry and to read and interpret recording contracts. How to earn money with your recorded music by leveraging copyright law. Cast a clear vision for a recording project and how to use the right tools to achieve your vision. How to record, edit, and mix a production using the industry standard digital audio workstation, Pro Tools.	Copyright, Pro Tools, Music production, Music recording, Contracts	Music Business Foundations, The Art of Music Production, Copyright Law in the Music Business, Pro Tools Basics	Dr. E. Michael Harrington, Stephen Webber, John P. Kellogg, Esq., Chrissy Tignor	Berklee	Arts and Humanities	https://www.coursera.org/specializations/business-music-production	40.0	Business,Music	602.0
The Singer Songwriter Specialization	4.8	Beginner level	Flexible schedule	The basics of playing the guitar, including chords, scales, strumming and picking patterns. How to sing in your preferred genre and style healthfully, using proper breathing and vocal techniques. Basic songwriting tools and techniques to augment your songwriting. How to record, edit, and mix music productions that include MIDI and audio to create professional sounding recordings of your music.  	Guitar, Singing, Ableton, Songwriting, Music production	Guitar for Beginners, Singing Popular Music, Songwriting: Writing the Lyrics, Introduction to Ableton Live	Thaddeus Hogarth, Jeannie Gagne, Pat Pattison, Erin Barra	Berklee	Arts and Humanities	https://www.coursera.org/specializations/singer-songwriter	80.0	Music	448.0
Songwriting: Writing, Arranging, and Producing Music Specialization	4.8	Beginner level	Flexible schedule	Generate lyrics that effectively convey the emotions you want to express. Create melodies and accompaniment that support your lyrics. Develop balanced arrangements for live and recorded performances. Produce song demos using a DAW.	Music, arranging, Songwriting, Producing	Songwriting: Writing the Lyrics, Songwriting: Writing the Music, Arranging for Songwriters, Introduction to Ableton Live	Sarah Brindell, Pat Pattison, Scarlet Keys, Erin Barra, Bonnie Hayes	Berklee	Arts and Humanities	https://www.coursera.org/specializations/songwriting	40.0	Music	196.0
Fundamentals of Graphic Design	4.8	Beginner level	Flexible schedule	Implement the fundamentals of color: visual, rhythm, and pattern in design. Use scale, weight, direction, texture, and space in a composition. Typeset text and experiment with letter forms. Create your own series of images using different image making techniques.	Creativity, Graphics, Design Theory, Color Theory	Course Overview, Week 1: Fundamentals of Imagemaking, Week 2: Fundamentals of Typography, Week 3: Fundamentals of Shape and Color, Week 4: Fundamentals of Composition, Continuing your graphic design studies	Michael Worthington	California Institute of the Arts	Arts and Humanities	https://www.coursera.org/learn/fundamentals-of-graphic-design	15.0	Design	16929.0
Electronic Music Production Specialization	4.8	Intermediate level	Flexible schedule	The nature of sound and how natural sound is transformed into an electronic signal that we can recordHow to record, edit, and mix live instruments and MIDI in Ableton Live. How to create custom sounds using a synthesizer and how to integrate those custom sounds for your musical compositions. How to record, edit, mix, and add effects to vocal tracks for your electronic music productions.	MIDI programming, File Management, Audio Recording, Ableton, Music Making, Sound Design, Create custom synthesizer patches, Create an electronic composition, Create custom patches in Strobe 2, Manipulate preset patches, Audio Editing, Music, Audio Production, Music Arrangement, Electronic Digital Instrument, Performance Technique, Live Looping	The Technology of Music Production, Introduction to Ableton Live, Creating Sounds for Electronic Music, Electronic Music Performance Techniques	Loudon Stearns, Erin Barra, Rishabh Rajan	Berklee	Arts and Humanities	https://www.coursera.org/specializations/electronic-music-production	40.0	Music	520.0
